Traditional,Simplified,Pinyin
用來,用来,yònglái
修,修,xiū
機場,机场,jīchǎng
中東,中东,zhōngdōng
不用,不用,búyòng
妹妹,妹妹,mèimèi
顧問,顾问,gùwèn
上市,上市,shàngshì
退休,退休,tuìxiū
肯,肯,kěn
早,早,zǎo
權益,权益,quányì
店,店,diàn
夠,够,gòu
決定,决定,juédìng
審查,审查,shěnchá
輕,轻,qīng
處,处,chù
望,望,wàng
年紀,年纪,niánjì
交易,交易,jiāoyì
房間,房间,fángjiān
性格,性格,xìnggé
畢竟,毕竟,bìjìng
詞典,词典,cídiǎn
平衡,平衡,pínghéng
哦,哦,ó
苦,苦,kǔ
拉,拉,lā
大小,大小,dàxiǎo
佳,佳,jiā
保留,保留,bǎoliú
玩具,玩具,wánjù
密切,密切,mìqiè
不過,不过,búguò
打開,打开,dǎkāi
南,南,nán
亂,乱,luàn
予以,予以,yūyǐ
供應,供应,gōngyìng
文明,文明,wénmíng
按,按,àn
相處,相处,xiāngchǔ
供應,供应,gōngyìng
相處,相处,xiāngchǔ
消費,消费,xiāofèi
激烈,激烈,jīliè
付出,付出,fùchū
競爭,竞争,jìngzhēng
基金,基金,jījīn
好處,好处,hǎochù
作家,作家,zuòjiā
若是,若是,ruòshì
金錢,金钱,jīnqián
落實,落实,luòshí
現有,现有,xiànyǒu
等於,等于,děngyū
懂得,懂得,dǒngde
改進,改进,gǎijìn
分配,分配,fēnpèi
購物,购物,gòuwù
世紀,世纪,shìjì
共識,共识,gòngshì
分配,分配,fēnpèi
航空,航空,hángkōng
累積,累积,lěijī
法規,法规,fǎguī
程序,程序,chéngxù
購物,购物,gòuwù
貢獻,贡献,gòngxiàn
特質,特质,tèzhí
任務,任务,rènwù
民意,民意,mínyì
輕鬆,轻松,qīngsōng
軍事,军事,jūnshì
野生,野生,yěshēng
道,道,dào
形容,形容,xíngróng
展現,展现,zhǎnxiàn
挑戰,挑战,tiǎozhàn
河,河,hé
起,起,qǐ
滿,满,mǎn
輛,辆,liàng
球,球,qiú
同,同,tóng
其次,其次,qícì
統治,统治,tǒngzhì
跳,跳,tiào
嚴格,严格,yángé
想起,想起,xiǎngqǐ
樓,楼,lóu
投資人,投资人,tóuzīrén
修改,修改,xiūgǎi
幫忙,帮忙,bāngmáng
類型,类型,lèixíng
波,波,bō
毛,毛,máo
飯店,饭店,fàndiàn
超越,超越,chāoyuè
雨,雨,yǔ
必要,必要,bìyào
旁邊,旁边,pángbiān
依然,依然,yīrán
看出,看出,kànchū
旅行,旅行,lǔxíng
熟悉,熟悉,shóuxī
不同,不同,bùtóng
抓,抓,zhuā
餐廳,餐厅,cāntīng
不妨,不妨,bùfáng
平等,平等,píngděng
困難,困难,kùnnán
顏色,颜色,yánsè
談到,谈到,tándào
彈性,弹性,tánxìng
從此,从此,cóngcǐ
哈,哈,hā
待,待,dài
硬體,硬体,yìngtǐ
種子,种子,zhǒngzi
份子,份子,fènzǐ
命運,命运,mìngyùn
看起來,看起来,kànqǐlái
規範,规范,guīfàn
演奏,演奏,yǎnzòu
癌症,癌症,yánzhèng
藝術家,艺术家,yìshùjiā
過,过,guò
得以,得以,déyǐ
日本人,日本人,rìběnrén
街,街,jiē
極為,极为,jíwéi
先進,先进,xiānjìn
難道,难道,nándào
出發,出发,chūfā
市府,市府,shìfǔ
諮詢,谘询,zīxún
嘴,嘴,zuǐ
諮詢,谘询,zīxún
陪,陪,péi
停,停,tíng
連接,连接,liánjiē
外交,外交,wàijiāo
營業,营业,yíngyè
營業,营业,yíngyè
期待,期待,qídài
罵,骂,mà
期待,期待,qídài
授權,授权,shòuquán
授權,授权,shòuquán
面前,面前,miànqián
始終,始终,shǐzhōng
理解,理解,lǐjiě
正好,正好,zhènghǎo
多麼,多么,duóme
澳洲,澳洲,àozhōu
理解,理解,lǐjiě
特定,特定,tèdìng
縣長,县长,xiànzhǎng
認真,认真,rènzhēn
樂團,乐团,yuètuán
認真,认真,rènzhēn
主力,主力,zhǔlì
福利,福利,fúlì
不得不,不得不,bùdébù
生意,生意,shēngyì
情,情,qíng
從小,从小,cóngxiǎo
展出,展出,zhǎnchū
展出,展出,zhǎnchū
看看,看看,kànkàn
取代,取代,qǔdài
全面,全面,quánmiàn
名稱,名称,míngchēng
隊,队,duì
派,派,pài
華人,华人,huárén
藉由,藉由,jièyóu
生氣,生气,shēngqì
縣府,县府,xiànfǔ
衝擊,冲击,chōngjí
資產,资产,zīchǎn
試,试,shì
發出,发出,fāchū
毫無,毫无,háowú
停止,停止,tíngzhǐ
基地,基地,jīdì
感動,感动,gǎndòng
